0.92,1.842,1.0
-0.621,-0.536,1.0
3.422,2.053,1.0
1.457,2.576,1.0
1.535,2.13,1.0
2.424,2.266,1.0
1.405,0.232,1.0
0.618,3.052,1.0
2.043,2.6,1.0
3.631,0.629,1.0
2.633,0.305,1.0
2.261,2.745,1.0
1.436,0.233,1.0
1.628,0.716,1.0
1.864,2.321,1.0
1.126,1.944,1.0
2.978,2.395,1.0
0.966,1.761,1.0
1.468,2.365,1.0
1.207,2.545,1.0
2.698,2.179,1.0
2.986,3.574,1.0
0.785,0.763,1.0
1.414,3.212,1.0
1.227,2.142,1.0
1.5,2.095,1.0
1.448,2.718,1.0
-0.202,1.876,1.0
2.524,0.34,1.0
0.982,1.561,1.0
0.808,2.249,1.0
1.797,1.889,1.0
1.344,1.022,1.0
1.553,1.22,1.0
-0.4,0.532,1.0
1.74,2.099,1.0
2.087,0.936,1.0
1.497,-0.243,1.0
2.315,1.873,1.0
0.991,0.62,1.0
1.425,0.048,1.0
1.553,2.049,1.0
1.343,0.066,1.0
1.888,0.752,1.0
0.929,3.003,1.0
1.207,1.271,1.0
2.016,0.738,1.0
2.686,1.981,1.0
1.026,0.568,1.0
2.058,0.595,1.0
4.252,0.246,1.0
3.447,2.527,1.0
2.423,2.412,1.0
0.659,2.134,1.0
1.179,0.899,1.0
1.055,1.273,1.0
0.745,0.251,1.0
1.708,0.336,1.0
2.402,0.782,1.0
3.457,1.857,1.0
0.044,1.513,1.0
0.957,2.158,1.0
1.007,2.42,1.0
1.245,3.381,1.0
3.431,0.526,1.0
1.078,1.987,1.0
0.385,2.515,1.0
1.572,0.961,1.0
1.602,-0.211,1.0
2.797,1.492,1.0
-0.307,1.73,1.0
2.628,2.041,1.0
0.758,0.263,1.0
1.095,1.039,1.0
1.648,1.853,1.0
1.813,1.557,1.0
1.263,0.799,1.0
2.726,0.658,1.0
2.89,1.058,1.0
3.076,1.25,1.0
2.985,1.562,1.0
1.851,3.637,1.0
0.834,1.842,1.0
1.046,2.105,1.0
2.251,0.188,1.0
2.229,1.637,1.0
0.913,0.401,1.0
2.867,0.815,1.0
1.735,4.027,1.0
2.196,3.21,1.0
1.61,1.167,1.0
1.312,1.085,1.0
2.206,0.053,1.0
4.147,0.406,1.0
2.223,0.377,1.0
2.747,0.935,1.0
1.152,2.526,1.0
3.085,1.152,1.0
1.234,0.789,1.0
1.89,3.374,1.0
2.918,2.102,1.0
2.668,1.024,1.0
0.095,1.786,1.0
1.46,2.354,1.0
2.736,1.815,1.0
-0.658,1.052,1.0
1.532,1.128,1.0
0.99,0.221,1.0
-0.306,2.892,1.0
1.566,1.493,1.0
1.046,-1.239,1.0
1.882,1.699,1.0
1.605,1.511,1.0
-0.006,1.913,1.0
1.304,2.048,1.0
1.64,3.46,1.0
1.473,0.816,1.0
2.913,-1.77,1.0
1.282,2.747,1.0
1.036,0.298,1.0
1.272,1.145,1.0
2.015,0.156,1.0
1.701,1.221,1.0
0.278,1.366,1.0
2.053,0.403,1.0
1.662,2.399,1.0
1.817,2.158,1.0
0.163,0.566,1.0
2.763,1.416,1.0
-0.687,0.516,1.0
1.901,1.296,1.0
0.44,1.93,1.0
0.903,1.345,1.0
1.759,1.846,1.0
-1.005,1.072,1.0
0.224,2.687,1.0
2.366,3.183,1.0
2.627,-0.722,1.0
1.478,2.187,1.0
1.351,1.875,1.0
0.789,0.448,1.0
0.173,2.001,1.0
0.755,0.409,1.0
0.996,0.671,1.0
2.359,1.647,1.0
-0.619,1.211,1.0
3.033,2.151,1.0
1.053,1.828,1.0
2.416,1.202,1.0
2.053,0.916,1.0
1.024,1.433,1.0
1.141,2.202,1.0
1.514,0.137,1.0
2.021,0.96,1.0
2.059,1.313,1.0
1.99,2.164,1.0
2.587,3.444,1.0
3.812,2.878,1.0
2.165,0.611,1.0
1.125,1.569,1.0
2.994,0.872,1.0
0.918,1.097,1.0
0.935,2.086,1.0
2.703,2.162,1.0
1.666,0.775,1.0
1.132,1.593,1.0
-0.14,2.035,1.0
3.661,2.045,1.0
3.729,1.419,1.0
0.958,1.62,1.0
1.891,2.001,1.0
-0.345,0.492,1.0
1.204,2.883,1.0
0.021,1.531,1.0
0.405,2.804,1.0
2.004,2.661,1.0
0.036,2.215,1.0
1.721,1.818,1.0
-0.683,-0.254,1.0
0.491,1.541,1.0
1.295,2.254,1.0
1.648,2.13,1.0
2.354,0.074,1.0
1.597,1.9,1.0
0.624,1.625,1.0
0.297,1.619,1.0
1.195,1.247,1.0
1.746,2.607,1.0
1.256,2.116,1.0
1.351,-0.25,1.0
2.517,2.866,1.0
1.21,1.824,1.0
0.584,1.29,1.0
0.868,1.719,1.0
3.076,0.361,1.0
-1.082,1.204,1.0
2.434,-0.228,1.0
3.946,0.886,1.0
2.385,1.714,1.0
2.96,0.22,1.0
-1.558,-2.389,-1.0
-1.09,-2.18,-1.0
-1.142,-1.249,-1.0
-0.09,-2.352,-1.0
-1.294,-3.027,-1.0
-1.048,-0.577,-1.0
-2.227,-0.629,-1.0
-1.028,-2.573,-1.0
-0.941,-1.099,-1.0
0.322,0.507,-1.0
0.074,-1.296,-1.0
-0.889,-3.297,-1.0
-2.692,-1.579,-1.0
-1.597,-3.968,-1.0
-1.65,-2.04,-1.0
-1.121,-0.688,-1.0
-0.602,-3.067,-1.0
-0.012,-2.325,-1.0
-2.45,-1.867,-1.0
-2.654,-2.031,-1.0
-3.149,0.48,-1.0
-2.713,-0.796,-1.0
-0.28,-1.354,-1.0
-0.633,-1.845,-1.0
-1.312,-1.926,-1.0
-1.626,-1.575,-1.0
-1.28,-2.161,-1.0
-1.67,-0.41,-1.0
-0.588,-2.36,-1.0
-1.952,-2.609,-1.0
-1.217,1.251,-1.0
-2.783,-2.228,-1.0
-1.35,-0.961,-1.0
1.765,-1.912,-1.0
-1.946,-1.561,-1.0
-1.517,-1.234,-1.0
-2.003,-0.693,-1.0
-0.458,-0.021,-1.0
1.789,-2.811,-1.0
-1.63,-1.935,-1.0
-2.03,-1.467,-1.0
-0.92,-3.018,-1.0
-0.822,-1.699,-1.0
-1.309,0.101,-1.0
-1.172,-2.581,-1.0
-1.266,-2.304,-1.0
-3.323,-0.419,-1.0
-0.769,-2.597,-1.0
-2.524,-1.298,-1.0
-1.232,-1.223,-1.0
-1.524,-0.768,-1.0
-1.839,-0.833,-1.0
-0.382,-1.808,-1.0
-1.6,-0.681,-1.0
-1.498,-1.857,-1.0
-2.252,-1.045,-1.0
-0.399,-1.236,-1.0
-1.257,0.215,-1.0
-1.165,-2.428,-1.0
-0.891,0.337,-1.0
-1.912,-1.871,-1.0
-0.57,-3.326,-1.0
-0.847,-0.902,-1.0
-1.334,-1.139,-1.0
-2.123,-2.926,-1.0
-2.986,-1.158,-1.0
-2.587,-0.623,-1.0
-0.036,-0.287,-1.0
-2.448,-1.653,-1.0
-2.542,-0.992,-1.0
-1.176,0.327,-1.0
-0.899,-2.768,-1.0
-0.02,-0.301,-1.0
-1.408,-1.049,-1.0
-1.233,-2.436,-1.0
-1.501,-0.532,-1.0
-0.601,-3.338,-1.0
-1.643,-1.623,-1.0
-2.156,-1.45,-1.0
